title,rating,rating_count
"Matrix, The (1999)",4.14663323782235,6980
Forrest Gump (1994),3.8441840277777777,6912
Jurassic Park (1993),3.603232382061736,6868
Back to the Future (1985),3.9331679556398655,6853
Pulp Fiction (1994),4.256348157933362,6813
"Silence of the Lambs, The (1991)",4.16528681253696,6764
Men in Black (a.k.a. MIB) (1997),3.4877759668098975,6749
Star Wars: Episode IV - A New Hope (1977),4.187341394237946,6699
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),4.24745280191789,6674
Star Wars: Episode V - The Empire Strikes Back (1980),4.197113216057736,6651
"Sixth Sense, The (1999)",4.011349878934625,6608
Star Wars: Episode VI - Return of the Jedi (1983),3.9044909258689633,6502
American Beauty (1999),4.120104841196423,6486
"Shawshank Redemption, The (1994)",4.376951615396506,6469
Ghostbusters (a.k.a. Ghost Busters) (1984),3.7436315625970797,6438
Groundhog Day (1993),3.910617130421265,6433
Terminator 2: Judgment Day (1991),3.897463824490431,6427
Independence Day (a.k.a. ID4) (1996),3.1162246489859595,6410
E.T. the Extra-Terrestrial (1982),3.708124608641202,6388
"Terminator, The (1984)",3.8696608040201004,6368
Toy Story (1995),3.8536085723290263,6346
Speed (1994),3.3036,6250
Die Hard (1988),3.9088263821532494,6186
Fargo (1996),4.097557029606859,6181
Braveheart (1995),3.8799611210108536,6173
Indiana Jones and the Last Crusade (1989),3.9356540084388185,6162
Saving Private Ryan (1998),3.978229082047116,6155
Gladiator (2000),3.7756879986972804,6141
"Usual Suspects, The (1995)",4.28931484502447,6130
Batman (1989),3.544564152791381,6126
Star Wars: Episode I - The Phantom Menace (1999),2.905551905387648,6088
Seven (a.k.a. Se7en) (1995),4.058189655172414,6032
"Truman Show, The (1998)",3.758818635607321,6010
Titanic (1997),3.256988352745424,6010
"Fugitive, The (1993)",3.7845115038346115,5998
Fight Club (1999),4.175229357798165,5995
Alien (1979),4.038044385115969,5993
"Lord of the Rings: The Fellowship of the Ring, The (2001)",4.141531516468818,5981
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),3.9316926167754898,5973
Mission: Impossible (1996),3.251149718957588,5871
Indiana Jones and the Temple of Doom (1984),3.564928425357873,5868
Monty Python and the Holy Grail (1975),4.143892869327875,5862
Shrek (2001),3.773311621528968,5834
There's Something About Mary (1998),3.481640356897735,5828
"Fifth Element, The (1997)",3.6026279628993474,5822
"Godfather, The (1972)",4.402115947015311,5813
Good Will Hunting (1997),3.9212157740657827,5807
X-Men (2000),3.5405759162303663,5730
"Mask, The (1994)",3.0225563909774436,5719
Blade Runner (1982),4.083640189374013,5703
Schindler's List (1993),4.222036874451273,5695
Who Framed Roger Rabbit? (1988),3.534018987341772,5688
Edward Scissorhands (1990),3.7061691189505406,5641
Jaws (1975),3.857003546099291,5640
True Lies (1994),3.3268683274021353,5620
Aliens (1986),3.972247010530073,5603
Beetlejuice (1988),3.5101749375223132,5602
Apollo 13 (1995),3.6851884938359833,5597
Spider-Man (2002),3.544901610017889,5590
Rain Man (1988),3.818450250536865,5588
Austin Powers: International Man of Mystery (1997),3.3894859394590724,5583
Being John Malkovich (1999),3.913397814794913,5583
Ferris Bueller's Day Off (1986),3.8560510699514476,5561
Austin Powers: The Spy Who Shagged Me (1999),3.0999459264599856,5548
Reservoir Dogs (1992),4.053181900126194,5547
Back to the Future Part II (1989),3.3544223826714803,5540
Memento (2000),4.184191508581753,5535
Home Alone (1990),2.9786772677990605,5534
Mrs. Doubtfire (1993),3.0878831851986215,5513
"Lion King, The (1994)",3.645152505446623,5508
"Shining, The (1980)",3.9751225712729252,5507
"Lord of the Rings: The Two Towers, The (2002)",4.098689002184996,5492
Total Recall (1990),3.4847022400291388,5491
"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)",3.8972227297642976,5473
Big (1988),3.566074046920821,5456
