title,rating,rating_count
"Godfather, The (1972)",4.402115947015311,5813
"Shawshank Redemption, The (1994)",4.376951615396506,6469
Band of Brothers (2001),4.336177474402731,879
"Usual Suspects, The (1995)",4.28931484502447,6130
"Godfather: Part II, The (1974)",4.288552604488367,4857
Seven Samurai (Shichinin no samurai) (1954),4.280947255113024,2787
Pulp Fiction (1994),4.256348157933362,6813
Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),4.249872643912379,1963
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),4.24745280191789,6674
Rear Window (1954),4.242390497401633,4041
Casablanca (1942),4.242182374808659,4573
Schindler's List (1993),4.222036874451273,5695
One Flew Over the Cuckoo's Nest (1975),4.218631178707224,5260
Double Indemnity (1944),4.21718931475029,1722
Paths of Glory (1957),4.210133542812255,1273
12 Angry Men (1957),4.207755775577557,3030
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),4.204143288735434,4634
North by Northwest (1959),4.201402254605444,3637
"Third Man, The (1949)",4.200506329113924,1975
Star Wars: Episode V - The Empire Strikes Back (1980),4.197113216057736,6651
Yojimbo (1961),4.191931540342298,1227
Star Wars: Episode IV - A New Hope (1977),4.187341394237946,6699
Memento (2000),4.184191508581753,5535
Goodfellas (1990),4.175562888198757,5152
Fight Club (1999),4.175229357798165,5995
City of God (Cidade de Deus) (2002),4.1749903213317845,2583
"Silence of the Lambs, The (1991)",4.16528681253696,6764
Chinatown (1974),4.162452419793366,3678
"Lives of Others, The (Das leben der Anderen) (2006)",4.158214285714286,1400
Rashomon (Rashômon) (1950),4.156524926686217,1364
"General, The (1926)",4.154802259887005,885
All About Eve (1950),4.153973509933775,1510
To Kill a Mockingbird (1962),4.151142609198727,3457
City Lights (1931),4.150199600798403,1002
"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",4.149453361246802,4299
"Matrix, The (1999)",4.14663323782235,6980
Lawrence of Arabia (1962),4.145833333333333,2976
Monty Python and the Holy Grail (1975),4.143892869327875,5862
"Dark Knight, The (2008)",4.143425660617638,3141
"Maltese Falcon, The (1941)",4.141979641979642,2849
"Lord of the Rings: The Fellowship of the Ring, The (2001)",4.141531516468818,5981
"Big Sleep, The (1946)",4.140767824497257,1641
"Lord of the Rings: The Return of the King, The (2003)",4.133418167580266,5108
"Treasure of the Sierra Madre, The (1948)",4.131796690307328,1692
Citizen Kane (1941),4.128686964795433,4204
Witness for the Prosecution (1957),4.12706043956044,728
"Thin Man, The (1934)",4.1265996343692875,1094
M (1931),4.125088841506752,1407
Touch of Evil (1958),4.123219814241486,1615
Wallace & Gromit: The Best of Aardman Animation (1996),4.122317596566524,1631
American Beauty (1999),4.120104841196423,6486
